,pokedex_number_x,pokedex_number_y,Winner_number
0,1,617,617
1,31,617,617
2,44,617,617
3,72,617,617
4,76,617,76
5,89,617,89
6,109,617,617
7,117,617,617
8,127,617,617
9,135,617,617
10,150,617,617
11,151,617,617
12,156,617,617
13,156,617,617
14,165,617,617
15,169,617,617
16,174,617,617
17,185,617,185
18,203,617,617
19,211,617,617
20,225,617,617
21,240,617,617
22,242,617,617
23,268,617,617
24,270,617,617
25,288,617,617
26,290,617,617
27,300,617,617
28,304,617,304
29,311,617,617
30,325,617,617
31,336,617,617
32,341,617,617
33,363,617,617
34,364,617,617
35,384,617,617
36,393,617,617
37,395,617,617
38,415,617,617
39,420,617,617
40,434,617,617
41,444,617,617
42,453,617,617
43,455,617,617
44,475,617,617
45,476,617,617
46,484,617,617
47,515,617,617
48,519,617,617
49,524,617,617
50,531,617,617
51,568,617,617
52,579,617,617
53,592,617,617
54,607,617,617
55,611,617,617
56,663,617,617
57,671,617,617
58,708,617,617
59,709,617,709
60,712,617,617
61,1,625,625
62,1,625,625
63,2,625,625
64,26,625,26
65,38,625,38
66,47,625,625
67,47,625,625
68,54,625,625
69,78,625,78
70,80,625,625
71,84,625,84
72,95,625,625
73,103,625,625
74,113,625,625
75,117,625,117
76,156,625,156
77,158,625,625
78,174,625,625
79,179,625,625
80,184,625,625
81,190,625,190
82,191,625,625
83,200,625,200
84,201,625,625
85,214,625,214
86,225,625,225
87,229,625,229
88,269,625,625
89,279,625,625
90,282,625,625
91,291,625,291
92,300,625,625
93,347,625,347
94,357,625,625
95,368,625,625
96,369,625,625
97,374,625,625
98,392,625,392
99,394,625,625
100,426,625,426
101,427,625,427
102,432,625,432
103,439,625,625
104,440,625,625
105,442,625,625
106,463,625,625
107,469,625,469
108,481,625,625
109,482,625,625
110,490,625,490
111,502,625,625
112,502,625,625
113,512,625,512
114,516,625,516
115,523,625,523
116,532,625,625
117,545,625,625
118,550,625,550
119,553,625,553
120,566,625,625
121,572,625,572
122,599,625,625
123,603,625,625
124,610,625,625
125,615,625,615
126,679,625,625
127,684,625,625
128,691,625,625
129,700,625,625
130,704,625,625
131,715,625,715
132,1,512,512
133,5,512,512
134,13,512,512
135,28,512,512
136,35,512,512
