First_pokemon,Second_pokemon,Winner
Bulbasaur,Accelgor,Accelgor
Nidoqueen,Accelgor,Accelgor
Gloom,Accelgor,Accelgor
Tentacool,Accelgor,Accelgor
Koffing,Accelgor,Accelgor
Seadra,Accelgor,Accelgor
Pinsir,Accelgor,Accelgor
Jolteon,Accelgor,Accelgor
Mewtwo,Accelgor,Accelgor
Mew,Accelgor,Accelgor
Quilava,Accelgor,Accelgor
Quilava,Accelgor,Accelgor
Ledyba,Accelgor,Accelgor
Crobat,Accelgor,Accelgor
Igglybuff,Accelgor,Accelgor
Girafarig,Accelgor,Accelgor
Qwilfish,Accelgor,Accelgor
Delibird,Accelgor,Accelgor
Magby,Accelgor,Accelgor
Blissey,Accelgor,Accelgor
Cascoon,Accelgor,Accelgor
Lotad,Accelgor,Accelgor
Mega Gardevoir,Accelgor,Accelgor
Vigoroth,Accelgor,Accelgor
Nincada,Accelgor,Accelgor
Skitty,Accelgor,Accelgor
Plusle,Accelgor,Accelgor
Spoink,Accelgor,Accelgor
Seviper,Accelgor,Accelgor
Corphish,Accelgor,Accelgor
Spheal,Accelgor,Accelgor
Sealeo,Accelgor,Accelgor
Rayquaza,Accelgor,Accelgor
Piplup,Accelgor,Accelgor
Empoleon,Accelgor,Accelgor
Combee,Accelgor,Accelgor
Cherubi,Accelgor,Accelgor
Stunky,Accelgor,Accelgor
Gabite,Accelgor,Accelgor
Croagunk,Accelgor,Accelgor
Carnivine,Accelgor,Accelgor
Gallade,Accelgor,Accelgor
Mega Gallade,Accelgor,Accelgor
Probopass,Accelgor,Accelgor
Heat Rotom,Accelgor,Accelgor
Palkia,Accelgor,Accelgor
Giratina Origin Forme,Accelgor,Accelgor
Shaymin Land Forme,Accelgor,Accelgor
Panpour,Accelgor,Accelgor
Pidove,Accelgor,Accelgor
Roggenrola,Accelgor,Accelgor
Audino,Accelgor,Accelgor
Darmanitan Standard Mode,Accelgor,Accelgor
Trubbish,Accelgor,Accelgor
Reuniclus,Accelgor,Accelgor
Frillish,Accelgor,Accelgor
Litwick,Accelgor,Accelgor
Fraxure,Accelgor,Accelgor
Meloetta Pirouette Forme,Accelgor,Accelgor
Talonflame,Accelgor,Accelgor
Florges,Accelgor,Accelgor
Phantump,Accelgor,Accelgor
Bergmite,Accelgor,Accelgor
Accelgor,Mega Medicham,Accelgor
Accelgor,Gothitelle,Accelgor
Accelgor,Scatterbug,Accelgor
Accelgor,Carbink,Accelgor
Accelgor,Charmander,Accelgor
Accelgor,Bastiodon,Accelgor
Accelgor,Totodile,Accelgor
Accelgor,Walrein,Accelgor
Accelgor,Meditite,Accelgor
Accelgor,Hippowdon,Accelgor
Accelgor,Lickilicky,Accelgor
Accelgor,Weezing,Accelgor
Accelgor,Solosis,Accelgor
Accelgor,Gastrodon,Accelgor
Accelgor,Scraggy,Accelgor
Accelgor,Tyrogue,Accelgor
Accelgor,Wormadam Trash Cloak,Accelgor
Accelgor,Mawile,Accelgor
Accelgor,Krookodile,Accelgor
Accelgor,Bunnelby,Accelgor
Accelgor,Geodude,Accelgor
Accelgor,Swirlix,Accelgor
Accelgor,Manaphy,Accelgor
Accelgor,Cranidos,Accelgor
Accelgor,Sawsbuck,Accelgor
Accelgor,Masquerain,Accelgor
Accelgor,Deoxys Defense Forme,Accelgor
Accelgor,Mew,Accelgor
Accelgor,Cresselia,Accelgor
Accelgor,Feraligatr,Accelgor
Accelgor,Seedot,Accelgor
Accelgor,Fearow,Accelgor
Accelgor,Seel,Accelgor
Accelgor,Pansage,Accelgor
Accelgor,Porygon,Accelgor
Accelgor,Banette,Accelgor
Accelgor,Noivern,Accelgor
Accelgor,Regice,Accelgor
Accelgor,Garchomp,Accelgor
Accelgor,Corsola,Accelgor
Accelgor,Yamask,Accelgor
Accelgor,Braixen,Accelgor
Accelgor,Braixen,Accelgor
Accelgor,Delibird,Accelgor
Accelgor,Blissey,Accelgor
Accelgor,Wormadam Plant Cloak,Accelgor
Accelgor,Sentret,Accelgor
Accelgor,Meowstic Female,Accelgor
Accelgor,Spheal,Accelgor
Accelgor,Skitty,Accelgor
Accelgor,Haxorus,Accelgor
Accelgor,Whiscash,Accelgor
Accelgor,Conkeldurr,Accelgor
Accelgor,Greninja,Accelgor
Accelgor,Kyurem Black Kyurem,Accelgor
Golem,Accelgor,Golem
Golem,Venipede,Golem
Golem,Phantump,Golem
Golem,Petilil,Golem
Golem,Durant,Golem
Golem,Numel,Golem
Golem,Rattata,Golem
Golem,Tirtouga,Golem
Golem,Dustox,Golem
Golem,Diglett,Golem
Golem,Aromatisse,Golem
Golem,Shellos,Golem
Golem,Lotad,Golem
Golem,Lotad,Golem
Golem,Swadloon,Golem
Golem,Swadloon,Golem
Golem,Pachirisu,Golem
Golem,Delphox,Golem
Golem,Goomy,Golem
Golem,Cacnea,Golem
Golem,Ferrothorn,Golem
Golem,Spiritomb,Golem
Golem,Shuckle,Golem
Golem,Shuckle,Golem
Clefairy,Golem,Golem
Jigglypuff,Golem,Golem
Tentacool,Golem,Golem
Geodude,Golem,Golem
Graveler,Golem,Golem
Rhydon,Golem,Golem
Mr. Mime,Golem,Golem
Sentret,Golem,Golem
Igglybuff,Golem,Golem
Mega Steelix,Golem,Golem
Snubbull,Golem,Golem
Teddiursa,Golem,Golem
Cascoon,Golem,Golem
Shroomish,Golem,Golem
Shroomish,Golem,Golem
Illumise,Golem,Golem
Armaldo,Golem,Golem
Feebas,Golem,Golem
Luvdisc,Golem,Golem
Mime Jr.,Golem,Golem
Porygon-Z,Golem,Golem
Probopass,Golem,Golem
Yamask,Golem,Golem
Beheeyem,Golem,Golem
Flabébé,Golem,Golem
Golem,Mr. Mime,Golem
Muk,Accelgor,Muk
Muk,Nosepass,Muk
Muk,Slowking,Muk
Gloom,Muk,Muk
Paras,Muk,Muk
Parasect,Muk,Muk
Totodile,Muk,Muk
Cleffa,Muk,Muk
Togetic,Muk,Muk
Flaaffy,Muk,Muk
Skiploom,Muk,Muk
Sunkern,Muk,Muk
Mega Steelix,Muk,Muk
Shuckle,Muk,Muk
Corsola,Muk,Muk
Treecko,Muk,Muk
Seedot,Muk,Muk
Wingull,Muk,Muk
Nosepass,Muk,Muk
Mawile,Muk,Muk
Mega Camerupt,Muk,Muk
Swablu,Muk,Muk
Feebas,Muk,Muk
Combee,Muk,Muk
Cherubi,Muk,Muk
Croagunk,Muk,Muk
Probopass,Muk,Muk
Serperior,Muk,Muk
Crustle,Muk,Muk
Duosion,Muk,Muk
Escavalier,Muk,Muk
Flabébé,Muk,Muk
Muk,Grimer,Muk
Muk,Chespin,Muk
Muk,Happiny,Muk
Muk,Meowth,Muk
Muk,Bergmite,Muk
Muk,Pumpkaboo Super Size,Muk
Muk,Minun,Muk
Muk,Roserade,Muk
Muk,Ninjask,Muk
Muk,Seedot,Muk
Muk,Magcargo,Muk
Muk,Machoke,Muk
Muk,Timburr,Muk
Muk,Timburr,Muk
Muk,Chikorita,Muk
Muk,Paras,Muk
Muk,Sentret,Muk
Muk,Probopass,Muk
Sudowoodo,Accelgor,Sudowoodo
Sudowoodo,Ninetales,Sudowoodo
Sudowoodo,Yanma,Sudowoodo
Sudowoodo,Tirtouga,Sudowoodo
Sudowoodo,Lileep,Sudowoodo
Sudowoodo,Gigalith,Sudowoodo
Sudowoodo,Slugma,Sudowoodo
Sudowoodo,Mega Gengar,Sudowoodo
Sudowoodo,Volcarona,Sudowoodo
Ninetales,Sudowoodo,Sudowoodo
Parasect,Sudowoodo,Sudowoodo
Diglett,Sudowoodo,Sudowoodo
Lickitung,Sudowoodo,Sudowoodo
Jynx,Sudowoodo,Sudowoodo
Magikarp,Sudowoodo,Sudowoodo
Cleffa,Sudowoodo,Sudowoodo
Snubbull,Sudowoodo,Sudowoodo
Elekid,Sudowoodo,Sudowoodo
Cascoon,Sudowoodo,Sudowoodo
Nosepass,Sudowoodo,Sudowoodo
Mega Sableye,Sudowoodo,Sudowoodo
Mega Camerupt,Sudowoodo,Sudowoodo
Wynaut,Sudowoodo,Sudowoodo
Bronzor,Sudowoodo,Sudowoodo
Chatot,Sudowoodo,Sudowoodo
Mega Abomasnow,Sudowoodo,Sudowoodo
Musharna,Sudowoodo,Sudowoodo
Litwick,Sudowoodo,Sudowoodo
Sudowoodo,Lopunny,Sudowoodo
Sudowoodo,Shuckle,Sudowoodo
Aron,Accelgor,Aron
Aron,Staravia,Aron
Aron,Shedinja,Aron
Aron,Tirtouga,Aron
Aron,Diglett,Aron
Aron,Ekans,Aron
Aron,Azurill,Aron
Aron,Doduo,Aron
Aron,Arbok,Aron
Aron,Gastly,Aron
Aron,Glameow,Aron
Aron,Cherrim,Aron
Aron,Cherrim,Aron
Aron,Mega Alakazam,Aron
Doduo,Aron,Aron
Doduo,Aron,Aron
Jynx,Aron,Aron
Articuno,Aron,Aron
Blissey,Aron,Aron
Lotad,Aron,Aron
Swalot,Aron,Aron
Spoink,Aron,Aron
Duskull,Aron,Aron
Stunky,Aron,Aron
Bonsly,Aron,Aron
Munna,Aron,Aron
Bergmite,Aron,Aron
Aron,Alakazam,Aron
Trevenant,Accelgor,Trevenant
Trevenant,Gourgeist Super Size,Trevenant
Trevenant,Wurmple,Trevenant
Trevenant,Snorunt,Trevenant
Trevenant,Dragalge,Trevenant
Trevenant,Swinub,Trevenant
Trevenant,Zubat,Trevenant
Trevenant,Machop,Trevenant
Trevenant,Shedinja,Trevenant
Trevenant,Wynaut,Trevenant
Trevenant,Shellos,Trevenant
Trevenant,Graveler,Trevenant
Trevenant,Graveler,Trevenant
Trevenant,Escavalier,Trevenant
Trevenant,Krabby,Trevenant
Trevenant,Krabby,Trevenant
Trevenant,Deino,Trevenant
Trevenant,Burmy,Trevenant
Trevenant,Torkoal,Trevenant
Trevenant,Spinarak,Trevenant
Trevenant,Shroomish,Trevenant
Trevenant,Weepinbell,Trevenant
Trevenant,Skiddo,Trevenant
Trevenant,Huntail,Trevenant
Trevenant,Corsola,Trevenant
Trevenant,Yamask,Trevenant
Trevenant,Chikorita,Trevenant
Trevenant,Quagsire,Trevenant
Trevenant,Probopass,Trevenant
Paras,Trevenant,Trevenant
Psyduck,Trevenant,Trevenant
,Trevenant,Trevenant
Mareep,Trevenant,Trevenant
Marill,Trevenant,Trevenant
Marill,Trevenant,Trevenant
Sunkern,Trevenant,Trevenant
Forretress,Trevenant,Trevenant
Pupitar,Trevenant,Trevenant
Lombre,Trevenant,Trevenant
Lombre,Trevenant,Trevenant
Exploud,Trevenant,Trevenant
Meditite,Trevenant,Trevenant
Camerupt,Trevenant,Trevenant
Mega Camerupt,Trevenant,Trevenant
Cacturne,Trevenant,Trevenant
Crawdaunt,Trevenant,Trevenant
Registeel,Trevenant,Trevenant
Turtwig,Trevenant,Trevenant
Torterra,Trevenant,Trevenant
Wormadam Sandy Cloak,Trevenant,Trevenant
Bonsly,Trevenant,Trevenant
Tangrowth,Trevenant,Trevenant
Regigigas,Trevenant,Trevenant
Munna,Trevenant,Trevenant
Musharna,Trevenant,Trevenant
Roggenrola,Trevenant,Trevenant
Dwebble,Trevenant,Trevenant
Yamask,Trevenant,Trevenant
Cofagrigus,Trevenant,Trevenant
Bulbasaur,Bisharp,Bisharp
Bulbasaur,Bisharp,Bisharp
Ivysaur,Bisharp,Bisharp
Parasect,Bisharp,Bisharp
Parasect,Bisharp,Bisharp
Psyduck,Bisharp,Bisharp
Slowbro,Bisharp,Bisharp
Onix,Bisharp,Bisharp
Exeggutor,Bisharp,Bisharp
Chansey,Bisharp,Bisharp
Totodile,Bisharp,Bisharp
Igglybuff,Bisharp,Bisharp
Mareep,Bisharp,Bisharp
Azumarill,Bisharp,Bisharp
Sunkern,Bisharp,Bisharp
Unown,Bisharp,Bisharp
Dustox,Bisharp,Bisharp
Pelipper,Bisharp,Bisharp
Gardevoir,Bisharp,Bisharp
Skitty,Bisharp,Bisharp
Mega Sableye,Bisharp,Bisharp
Tropius,Bisharp,Bisharp
Gorebyss,Bisharp,Bisharp
Relicanth,Bisharp,Bisharp
Beldum,Bisharp,Bisharp
Prinplup,Bisharp,Bisharp
Wormadam Plant Cloak,Bisharp,Bisharp
Mime Jr.,Bisharp,Bisharp
Happiny,Bisharp,Bisharp
Spiritomb,Bisharp,Bisharp
Lickilicky,Bisharp,Bisharp
Mesprit,Bisharp,Bisharp
Azelf,Bisharp,Bisharp
Dewott,Bisharp,Bisharp
Dewott,Bisharp,Bisharp
Timburr,Bisharp,Bisharp
Scolipede,Bisharp,Bisharp
Archen,Bisharp,Bisharp
Klink,Bisharp,Bisharp
Eelektrik,Bisharp,Bisharp
Axew,Bisharp,Bisharp
Honedge,Bisharp,Bisharp
Swirlix,Bisharp,Bisharp
Dragalge,Bisharp,Bisharp
Sylveon,Bisharp,Bisharp
Goomy,Bisharp,Bisharp
Bisharp,Exeggutor,Bisharp
Bisharp,Tepig,Bisharp
Bisharp,Granbull,Bisharp
Bisharp,Petilil,Bisharp
Bisharp,Carvanha,Bisharp
Bisharp,Espeon,Bisharp
Bisharp,Wurmple,Bisharp
Bisharp,Beheeyem,Bisharp
Bisharp,Clauncher,Bisharp
Bisharp,Tyranitar,Bisharp
Bisharp,Shedinja,Bisharp
Bisharp,Exeggcute,Bisharp
Bisharp,Scraggy,Bisharp
Bisharp,Kirlia,Bisharp
Bisharp,Kirlia,Bisharp
Bisharp,Farfetch'd,Bisharp
Bisharp,Darmanitan Zen Mode,Bisharp
Bisharp,Aromatisse,Bisharp
Bisharp,Spinda,Bisharp
Bisharp,Avalugg,Bisharp
Bisharp,Chesnaught,Bisharp
Bisharp,Shellos,Bisharp
Bisharp,Deoxys Normal Forme,Bisharp
Bisharp,Cranidos,Bisharp
Bisharp,Tangrowth,Bisharp
Bisharp,Bonsly,Bisharp
Bisharp,Mantyke,Bisharp
Bisharp,Ferrothorn,Bisharp
Bisharp,Abomasnow,Bisharp
Bisharp,Skorupi,Bisharp
Bisharp,Phanpy,Bisharp
Bisharp,Doublade,Bisharp
Bisharp,Whiscash,Bisharp
Bisharp,Mega Ampharos,Bisharp
Bisharp,Luvdisc,Bisharp
Bisharp,Rampardos,Bisharp
Bisharp,Slowpoke,Bisharp
Bisharp,Slowpoke,Bisharp
Bisharp,Pupitar,Bisharp
Bisharp,Flaaffy,Bisharp
Raichu,Bisharp,Raichu
Raichu,Gothitelle,Raichu
Raichu,Emboar,Raichu
Raichu,Riolu,Raichu
Raichu,Houndoom,Raichu
Raichu,Litwick,Raichu
Raichu,Dragalge,Raichu
Raichu,Cyndaquil,Raichu
Raichu,Shuppet,Raichu
Venusaur,Raichu,Raichu
Venonat,Raichu,Raichu
Kadabra,Raichu,Raichu
Rapidash,Raichu,Raichu
Slowpoke,Raichu,Raichu
Cloyster,Raichu,Raichu
Krabby,Raichu,Raichu
Togepi,Raichu,Raichu
Mega Ampharos,Raichu,Raichu
Aipom,Raichu,Raichu
Unown,Raichu,Raichu
Wobbuffet,Raichu,Raichu
Steelix,Raichu,Raichu
Granbull,Raichu,Raichu
Qwilfish,Raichu,Raichu
Shiftry,Raichu,Raichu
Surskit,Raichu,Raichu
Masquerain,Raichu,Raichu
Slakoth,Raichu,Raichu
Nincada,Raichu,Raichu
Mega Aggron,Raichu,Raichu
Minun,Raichu,Raichu
Carvanha,Raichu,Raichu
Flygon,Raichu,Raichu
Cacturne,Raichu,Raichu
Barboach,Raichu,Raichu
Banette,Raichu,Raichu
Gorebyss,Raichu,Raichu
Mega Metagross,Raichu,Raichu
Regirock,Raichu,Raichu
Turtwig,Raichu,Raichu
Luxray,Raichu,Raichu
Bastiodon,Raichu,Raichu
Wormadam Sandy Cloak,Raichu,Raichu
Pachirisu,Raichu,Raichu
Toxicroak,Raichu,Raichu
Uxie,Raichu,Raichu
Emboar,Raichu,Raichu
Simisage,Raichu,Raichu
Audino,Raichu,Raichu
Sewaddle,Raichu,Raichu
Krookodile,Raichu,Raichu
Scrafty,Raichu,Raichu
Carracosta,Raichu,Raichu
Minccino,Raichu,Raichu
Swanna,Raichu,Raichu
