,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
0,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49.0,5120,70,318,45,Seed Pokémon,49.0,1059860,0.7,45.0,Fushigidaneフシギダネ,Bulbasaur,88.1,1,65.0,65.0,45.0,Grass,Poison,6.9,1,0
1,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62.0,5120,70,405,45,Seed Pokémon,63.0,1059860,1.0,60.0,Fushigisouフシギソウ,Ivysaur,88.1,2,80.0,80.0,60.0,Grass,Poison,13.0,1,0
2,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,82.0,5120,70,625,45,Seed Pokémon,83.0,1059860,2.0,80.0,Fushigibanaフシギバナ,Venusaur,88.1,3,100.0,100.0,80.0,Grass,Poison,100.0,1,0
3,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52.0,5120,70,309,45,Lizard Pokémon,43.0,1059860,0.6,39.0,Hitokageヒトカゲ,Charmander,88.1,4,60.0,50.0,65.0,Fire,,8.5,1,0
4,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64.0,5120,70,405,45,Flame Pokémon,58.0,1059860,1.1,58.0,Lizardoリザード,Charmeleon,88.1,5,80.0,65.0,80.0,Fire,,19.0,1,0
5,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,84.0,5120,70,634,45,Flame Pokémon,78.0,1059860,1.7,78.0,Lizardonリザードン,Charizard,88.1,6,109.0,85.0,100.0,Fire,Flying,90.5,1,0
6,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48.0,5120,70,314,45,Tiny Turtle Pokémon,65.0,1059860,0.5,44.0,Zenigameゼニガメ,Squirtle,88.1,7,50.0,64.0,43.0,Water,,9.0,1,0
7,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63.0,5120,70,405,45,Turtle Pokémon,80.0,1059860,1.0,59.0,Kameilカメール,Wartortle,88.1,8,65.0,80.0,58.0,Water,,22.5,1,0
8,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,83.0,5120,70,630,45,Shellfish Pokémon,100.0,1059860,1.6,79.0,Kamexカメックス,Blastoise,88.1,9,85.0,105.0,78.0,Water,,85.5,1,0
9,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0,3840,70,195,255,Worm Pokémon,35.0,1000000,0.3,45.0,Caterpieキャタピー,Caterpie,50.0,10,20.0,20.0,45.0,Bug,,2.9,1,0
10,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,3840,70,205,120,Cocoon Pokémon,55.0,1000000,0.7,50.0,Transelトランセル,Metapod,50.0,11,25.0,25.0,30.0,Bug,,9.9,1,0
11,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45.0,3840,70,395,45,Butterfly Pokémon,50.0,1000000,1.1,60.0,Butterfreeバタフリー,Butterfree,50.0,12,90.0,80.0,70.0,Bug,Flying,32.0,1,0
12,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35.0,3840,70,195,255,Hairy Pokémon,30.0,1000000,0.3,40.0,Beedleビードル,Weedle,50.0,13,20.0,20.0,50.0,Bug,Poison,3.2,1,0
13,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25.0,3840,70,205,120,Cocoon Pokémon,50.0,1000000,0.6,45.0,Cocoonコクーン,Kakuna,50.0,14,25.0,25.0,35.0,Bug,Poison,10.0,1,0
14,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,90.0,3840,70,495,45,Poison Bee Pokémon,40.0,1000000,1.0,65.0,Spearスピアー,Beedrill,50.0,15,45.0,80.0,75.0,Bug,Poison,29.5,1,0
15,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45.0,3840,70,251,255,Tiny Bird Pokémon,40.0,1059860,0.3,40.0,Poppoポッポ,Pidgey,50.0,16,35.0,35.0,56.0,Normal,Flying,1.8,1,0
16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840,70,349,120,Bird Pokémon,55.0,1059860,1.1,63.0,Pigeonピジョン,Pidgeotto,50.0,17,50.0,50.0,71.0,Normal,Flying,30.0,1,0
17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80.0,3840,70,579,45,Bird Pokémon,75.0,1059860,1.5,83.0,Pigeotピジョット,Pidgeot,50.0,18,70.0,70.0,101.0,Normal,Flying,39.5,1,0
18,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,3840,70,253,255,Mouse Pokémon,35.0,1000000,,30.0,Korattaコラッタ,Rattata,50.0,19,25.0,35.0,72.0,Normal,dark,,1,0
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.0,3840,70,413,127,Mouse Pokémon,60.0,1000000,,55.0,Rattaラッタ,Raticate,50.0,20,50.0,70.0,97.0,Normal,dark,,1,0
20,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840,70,262,255,Tiny Bird Pokémon,30.0,1000000,0.3,40.0,Onisuzumeオニスズメ,Spearow,50.0,21,31.0,31.0,70.0,Normal,Flying,2.0,1,0
21,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,3840,70,442,90,Beak Pokémon,65.0,1000000,1.2,65.0,Onidrillオニドリル,Fearow,50.0,22,61.0,61.0,100.0,Normal,Flying,38.0,1,0
22,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60.0,5120,70,288,255,Snake Pokémon,44.0,1000000,2.0,35.0,Arboアーボ,Ekans,50.0,23,40.0,54.0,55.0,Poison,,6.9,1,0
23,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,85.0,5120,70,448,90,Cobra Pokémon,69.0,1000000,3.5,60.0,Arbokアーボック,Arbok,50.0,24,65.0,79.0,80.0,Poison,,65.0,1,0
24,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55.0,2560,70,320,190,Mouse Pokémon,40.0,1000000,0.4,35.0,Pikachuピカチュウ,Pikachu,50.0,25,50.0,50.0,90.0,Electric,,6.0,1,0
25,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,90.0,2560,70,485,75,Mouse Pokémon,55.0,1000000,,60.0,Raichuライチュウ,Raichu,50.0,26,90.0,80.0,110.0,Electric,electric,,1,0
