First_pokemon,Second_pokemon,Winner
1,617,617
31,617,617
44,617,617
72,617,617
76,617,76
89,617,89
109,617,617
117,617,617
127,617,617
135,617,617
150,617,617
151,617,617
156,617,617
156,617,617
165,617,617
169,617,617
174,617,617
185,617,185
203,617,617
211,617,617
225,617,617
240,617,617
242,617,617
268,617,617
270,617,617
288,617,617
290,617,617
300,617,617
304,617,304
311,617,617
325,617,617
336,617,617
341,617,617
363,617,617
364,617,617
384,617,617
393,617,617
395,617,617
415,617,617
420,617,617
434,617,617
444,617,617
453,617,617
455,617,617
475,617,617
476,617,617
484,617,617
515,617,617
519,617,617
524,617,617
531,617,617
568,617,617
579,617,617
592,617,617
607,617,617
611,617,617
663,617,617
671,617,617
708,617,617
709,617,709
712,617,617
1,625,625
1,625,625
2,625,625
26,625,26
38,625,38
47,625,625
47,625,625
54,625,625
78,625,78
80,625,625
84,625,84
95,625,625
103,625,625
113,625,625
117,625,117
156,625,156
158,625,625
174,625,625
179,625,625
184,625,625
190,625,190
191,625,625
200,625,200
201,625,625
214,625,214
225,625,225
229,625,229
269,625,625
279,625,625
282,625,625
291,625,291
300,625,625
347,625,347
357,625,625
368,625,625
369,625,625
374,625,625
392,625,392
394,625,625
426,625,426
427,625,427
432,625,432
439,625,625
440,625,625
442,625,625
463,625,625
469,625,469
481,625,625
482,625,625
490,625,490
502,625,625
502,625,625
512,625,512
516,625,516
523,625,523
532,625,625
545,625,625
550,625,550
553,625,553
566,625,625
572,625,572
599,625,625
603,625,625
610,625,625
615,625,615
679,625,625
684,625,625
691,625,625
700,625,625
704,625,625
715,625,715
1,512,512
5,512,512
13,512,512
28,512,512
35,512,512
36,512,512
51,512,51
94,512,94
106,512,512
111,512,512
135,512,135
149,512,512
161,512,512
206,512,512
214,512,512
245,512,512
305,512,512
312,512,512
315,512,512
333,512,512
336,512,512
358,512,512
365,512,512
383,512,512
410,512,512
417,512,512
418,512,512
419,512,419
429,512,429
457,512,512
471,512,512
497,512,497
501,512,512
504,512,512
510,512,510
519,512,512
525,512,512
534,512,512
554,512,512
561,512,512
563,512,512
578,512,512
587,512,587
616,512,512
621,512,512
644,512,512
662,512,512
689,512,512
695,512,695
699,512,512
704,512,512
1,497,497
47,497,47
83,497,497
86,497,497
138,497,497
170,497,497
184,497,497
189,497,497
189,497,497
206,497,497
210,497,497
214,497,497
221,497,497
226,497,497
226,497,497
249,497,497
258,497,497
261,497,497
263,497,497
274,497,497
284,497,497
320,497,497
325,497,497
335,497,497
348,497,497
350,497,497
365,497,497
365,497,497
369,497,497
383,497,497
387,497,497
410,497,497
417,497,497
450,497,497
456,497,497
480,497,497
494,497,497
500,497,500
502,497,497
510,497,497
518,497,497
530,497,497
548,497,497
564,497,497
590,497,497
605,497,497
632,497,497
633,497,497
650,497,497
666,497,497
694,497,497
703,497,497
707,497,497
717,497,497
717,497,497
1,695,695
7,695,695
13,695,695
46,695,695
64,695,695
104,695,104
105,695,105
121,695,121
158,695,695
187,695,695
196,695,196
198,695,695
214,695,695
222,695,695
243,695,243
289,695,695
312,695,695
328,695,328
342,695,695
357,695,695
371,695,695
374,695,695
391,695,695
410,695,695
412,695,695
420,695,695
428,695,695
429,695,695
447,695,695
460,695,695
465,695,465
499,695,695
505,695,695
511,695,695
529,695,529
551,695,551
552,695,552
572,695,695
577,695,695
578,695,695
589,695,589
590,695,590
614,695,695
632,695,695
639,695,695
640,695,695
687,695,695
693,695,695
1,121,121
7,121,121
11,121,121
23,121,121
37,121,121
43,121,121
53,121,121
62,121,121
91,121,121
111,121,121
117,121,121
122,121,121
144,121,121
147,121,121
157,121,121
162,121,121
167,121,121
175,121,121
176,121,121
202,121,121
220,121,121
223,121,121
234,121,121
247,121,121
253,121,121
259,121,121
262,121,121
273,121,121
287,121,121
307,121,121
307,121,121
327,121,121
327,121,121
328,121,121
350,121,121
355,121,121
358,121,121
371,121,121
403,121,121
416,121,121
421,121,121
441,121,121
451,121,121
451,121,121
489,121,121
502,121,121
504,121,121
530,121,121
534,121,534
538,121,121
543,121,121
554,121,121
558,121,121
561,121,121
565,121,565
576,121,121
584,121,121
597,121,597
604,121,604
608,121,121
611,121,121
611,121,121
650,121,121
652,121,121
658,121,658
663,121,663
696,121,121
700,121,121
1,141,141
2,141,141
4,141,141
14,141,141
29,141,141
48,141,141
52,141,52
58,141,141
96,141,141
97,141,141
100,141,100
109,141,141
127,141,127
131,141,141
162,141,162
170,141,141
185,141,141
218,141,141
222,141,141
233,141,141
234,141,234
265,141,141
284,141,141
285,141,141
287,141,141
290,141,141
304,141,141
341,141,141
352,141,141
353,141,141
371,141,141
372,141,141
392,141,392
399,141,141
422,141,141
445,141,445
475,141,141
481,141,141
505,141,141
534,141,141
554,141,141
582,141,141
596,141,596
603,141,141
615,141,615
627,141,141
644,141,644
666,141,666
670,141,141
684,141,141
697,141,141
721,141,141
1,179,1
18,179,18
44,179,44
45,179,45
66,179,179
77,179,77
111,179,111
122,179,122
134,179,134
136,179,136
160,179,160
173,179,179
189,179,189
191,179,179
207,179,207
209,179,179
229,179,229
245,179,245
247,179,247
293,179,179
303,179,303
311,179,311
325,179,325
351,179,351
355,179,179
362,179,362
372,179,372
373,179,373
377,179,377
395,179,395
397,179,397
414,179,414
427,179,427
457,179,457
477,179,477
480,179,480
488,179,488
507,179,507
524,179,179
528,179,528
528,179,528
531,179,531
550,179,550
559,179,559
564,179,179
578,179,179
584,179,584
607,179,179
607,179,179
621,179,621
630,179,630
637,179,637
658,179,658
659,179,659
662,179,662
671,179,671
672,179,672
672,179,672
687,179,687
708,179,708
1,261,1
54,261,54
85,261,85
93,261,93
94,261,94
103,261,103
109,261,261
112,261,112
113,261,113
117,261,117
125,261,125
128,261,128
150,261,261
194,261,261
202,261,261
207,261,207
240,261,240
266,261,261
269,261,269
269,261,269
295,261,295
302,261,261
311,261,311
320,261,320
363,261,261
366,261,261
370,261,370
382,261,382
398,261,398
438,261,261
454,261,454
473,261,473
478,261,261
497,261,497
500,261,500
524,261,261
527,261,261
569,261,569
587,261,587
591,261,261
608,261,608
650,261,650
701,261,701
1,519,1
4,519,4
4,519,4
10,519,10
10,519,10
35,519,519
38,519,38
38,519,38
46,519,519
50,519,50
56,519,56
66,519,519
79,519,519
88,519,519
90,519,519
112,519,519
123,519,123
130,519,130
140,519,140
141,519,141
156,519,156
157,519,157
158,519,519
160,519,160
161,519,519
167,519,519
171,519,171
176,519,519
179,519,519
211,519,211
214,519,214
238,519,238
242,519,242
244,519,244
247,519,519
253,519,253
271,519,271
285,519,519
287,519,519
296,519,519
301,519,301
306,519,306
307,519,307
339,519,519
341,519,519
344,519,344
347,519,347
352,519,519
352,519,519
360,519,519
365,519,365
373,519,373
378,519,378
380,519,380
428,519,428
437,519,519
462,519,462
463,519,463
489,519,489
511,519,511
524,519,519
532,519,519
541,519,519
546,519,546
551,519,551
570,519,570
582,519,582
588,519,588
604,519,604
610,519,610
612,519,612
632,519,632
633,519,519
669,519,519
685,519,685
694,519,694
701,519,701
717,519,717
1,299,1
3,299,3
12,299,12
12,299,12
39,299,299
51,299,51
74,299,299
75,299,75
84,299,84
89,299,89
125,299,125
125,299,125
131,299,131
133,299,133
147,299,147
151,299,151
169,299,169
199,299,299
199,299,299
216,299,216
231,299,231
237,299,237
245,299,245
255,299,255
259,299,259
262,299,262
263,299,263
264,299,264
266,299,299
274,299,274
275,299,275
278,299,278
292,299,299
301,299,301
305,299,305
315,299,315
320,299,320
334,299,334
352,299,352
370,299,370
371,299,371
378,299,378
403,299,403
411,299,299
429,299,429
433,299,433
434,299,434
447,299,447
451,299,451
471,299,471
489,299,489
500,299,500
511,299,511
544,299,544
